mag_x,mag_y,mag_z
69.3,-21.15,9.9
69,-8.85,5.25
66,-7.35,2.7
64.95,-19.95,-1.5
44.7,-43.5,-11.55
27,-39.6,-20.7
24.15,-33.75,-22.95
21.9,-33.75,-24.45
18.75,-38.1,-23.55
19.8,-39.15,-21.6
19.2,-40.05,-20.25
18.3,-44.1,-19.05
18.75,-44.55,-18.75
21,-48.45,-15.6
28.65,-52.5,-12.45
40.5,-53.25,-6.3
55.65,-40.2,-6.3
63.45,-24.9,-2.25
67.5,-12.75,-3
61.35,-3.3,-3.6
58.2,4.65,-5.85
56.25,2.55,-10.5
54.9,-0.45,-12.75
55.65,-7.35,-13.2
56.7,-14.7,-12.75
55.8,-27,-11.55
49.5,-43.5,-10.05
36.15,-54.6,-9.3
23.25,-57.3,-9.3
13.05,-57.45,-8.1
7.2,-54.3,-6.3
3.3,-52.65,-6.9
-0.6,-47.7,-10.05
-3.6,-41.55,-14.1
-4.8,-32.4,-16.65
-5.7,-21.45,-19.35
-3.75,-10.05,-19.05
4.95,0.45,-20.1
20.25,6.75,-21
33.45,3.15,-21.6
38.4,-6.75,-22.05
37.35,-20.55,-23.85
25.5,-36.6,-23.55
10.35,-35.85,-21.3
4.5,-21.45,-24.45
8.1,-7.2,-23.25
18.45,-3,-25.65
27.15,-5.1,-24.45
30.9,-10.8,-25.5
32.7,-18,-25.95
29.4,-22.65,-25.5
27,-26.25,-26.1
25.65,-28.35,-24.75
22.2,-26.25,-26.1
20.85,-26.85,-26.7
20.25,-27.75,-25.35
21.9,-28.05,-24.45
22.65,-29.1,-25.2
24.15,-28.35,-27
26.4,-29.1,-25.95
26.25,-30.45,-25.65
26.1,-28.8,-25.5
28.05,-29.4,-24.3
29.55,-30.45,-25.05
30.45,-31.05,-23.7
32.1,-33.15,-21.3
32.55,-36.6,-22.05
33.75,-38.7,-19.65
34.95,-41.4,-17.55
35.85,-45,-17.4
35.55,-47.25,-13.35
37.95,-49.8,-11.7
40.35,-49.95,-9.75
46.65,-46.95,-10.5
53.85,-39.9,-8.4
58.2,-28.35,-10.95
57.45,-14.25,-12.15
53.1,-1.2,-14.25
46.2,7.5,-15.15
38.55,13.5,-14.25
33.3,13.65,-16.2
24.6,12.75,-18.3
17.4,10.95,-18.15
13.95,5.7,-21
9.6,0,-22.5
7.65,-7.5,-23.55
7.2,-13.05,-25.2
9.3,-15.75,-24.45
11.25,-17.25,-26.7
17.4,-17.85,-27.15
20.7,-16.8,-26.85
22.2,-17.55,-27.15
25.05,-15.6,-27.15
25.5,-14.1,-27.6
25.8,-13.35,-26.1
25.5,-10.65,-25.35
24.3,-8.7,-26.85
21.6,-7.05,-25.2
19.95,-6.75,-25.65
17.4,-6,-25.65
14.85,-6.6,-25.5
12,-8.85,-25.95
9.3,-10.05,-23.7
8.1,-13.35,-25.05
5.7,-18,-25.5
5.25,-22.65,-24.45
6.15,-27,-23.55
7.35,-30.9,-23.25
12,-34.95,-24.15
18,-35.1,-22.5
23.4,-33.75,-24.45
30.15,-31.8,-23.7
35.7,-24.6,-23.7
39.9,-20.55,-24.6
39.75,-13.5,-24.45
38.25,-6.3,-22.95
35.85,-2.25,-22.5
34.8,2.25,-21.75
30.45,4.35,-21.9
28.95,6.3,-20.4
26.4,6.6,-20.4
23.85,8.55,-19.65
