unix_time,cur_time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_mx,imu_my,imu_mz,imu_T,mag_x,mag_y,mag_z,temp,enviro_t,enviro_p,enviro_h,,,,,,,,,,,
1739394679,11:04.0,147,205,-3948,-120,44,-130,55,1,-153,12.17,-938,840,-3642,4092.9375,1.76,980.54,48.536,2,90,44,51,55,52,10,19,158,148,150
1739394679,11:04.1,20,221,-4053,-240,103,62,64,-2,-155,11.88,-936,887,-3654,4092.9375,1.77,980.51,48.531,2,102,53,54,57,54,4,9,157,148,151
1739394679,11:04.2,-96,304,-4033,124,43,141,49,0,-159,11.54,-940,854,-3612,4092.9375,1.77,980.52,48.548,3,108,60,61,51,56,2,12,157,148,151
1739394679,11:04.2,-96,131,-4043,-9,44,-55,55,3,-165,11.88,-939,850,-3624,4092.9375,1.78,980.5,48.559,3,93,38,45,57,55,10,15,158,148,151
1739394679,11:04.3,-21,274,-4057,102,264,130,48,-1,-161,11.88,-944,849,-3630,4092.9375,1.79,980.51,48.565,3,115,52,47,55,56,8,11,158,148,150
1739394679,11:04.4,146,293,-4045,131,176,39,45,1,-158,12.02,-977,817,-3626,4092.9375,1.79,980.51,48.565,3,87,52,58,62,54,13,14,157,148,150
1739394680,11:04.5,51,163,-4054,305,29,159,44,0,-169,12.07,-989,807,-3632,4092.9375,1.8,980.5,48.596,3,74,57,44,51,64,0,13,158,147,151
1739394680,11:04.5,-143,56,-3872,-82,85,-180,48,-8,-158,11.88,-965,813,-3630,4092.9375,1.8,980.5,48.596,3,82,55,57,57,55,0,15,158,147,151
1739394680,11:04.6,-442,185,-4032,210,243,-181,46,-2,-159,12.07,-1016,780,-3665,4093,1.81,980.54,48.608,2,80,40,38,51,44,1,15,156,148,151
1739394680,11:04.7,472,19,-3831,133,687,113,44,-5,-164,11.74,-1102,770,-3615,4093,1.81,980.53,48.619,3,82,42,60,50,58,12,8,157,147,151
1739394680,11:05.0,-299,338,-4110,-173,-22,84,51,7,-164,12.07,-963,922,-3583,4092.9375,1.8,980.49,48.649,2,97,57,44,50,39,0,15,158,147,150
1739394680,11:05.1,-388,218,-4085,-26,129,-42,55,8,-156,12.22,-956,927,-3595,4092.9375,1.8,980.5,48.656,3,77,57,44,65,40,4,13,157,147,151
1739394680,11:05.1,436,808,-3925,-60,297,-745,49,7,-152,11.88,-946,954,-3597,4092.9375,1.8,980.5,48.656,3,84,53,46,66,45,6,10,158,148,150
1739394680,11:05.2,-210,455,-4048,431,593,-84,51,7,-159,11.88,-966,930,-3596,4092.9375,1.8,980.49,48.671,2,92,49,48,45,39,0,7,158,146,151
1739394680,11:05.3,294,151,-3960,530,191,-35,41,2,-162,12.17,-982,875,-3611,4092.9375,1.8,980.5,48.683,3,92,45,54,55,27,0,8,158,148,151
1739394680,11:05.4,849,-70,-3819,86,-289,-781,45,11,-165,12.02,-874,915,-3640,4092.9375,1.8,980.5,48.695,2,82,56,54,57,12,9,10,159,148,151
1739394680,11:05.4,-17,219,-3974,-275,-426,-1091,65,11,-161,12.22,-778,976,-3614,4092.9375,1.81,980.53,48.695,2,103,50,48,53,31,13,2,159,147,152
1739394681,11:05.5,-408,154,-4044,121,22,-783,77,11,-161,11.88,-698,1001,-3614,4092.9375,1.81,980.53,48.713,2,93,42,49,58,20,0,9,156,149,150
1739394681,11:05.6,-166,-83,-3966,150,396,-1113,74,12,-152,12.26,-678,1001,-3611,4092.9375,1.81,980.53,48.713,3,81,54,56,58,12,0,8,157,150,151
1739394681,11:05.7,312,254,-4040,-159,671,-1383,75,14,-161,12.22,-707,1049,-3594,4092.9375,1.81,980.52,48.725,3,104,34,49,58,15,11,12,158,149,150
