imu_mx,imu_my,imu_mz
8.25,0.15,-22.95
9.6,-0.3,-23.25
7.35,0,-23.85
8.25,0.45,-24.75
7.2,-0.15,-24.15
6.75,0.15,-23.7
6.6,0,-25.35
7.2,-1.2,-23.7
6.9,-0.3,-23.85
6.6,-0.75,-24.6
7.65,1.05,-24.6
8.25,1.2,-23.4
7.35,1.05,-22.8
7.65,1.05,-23.85
6.15,0.3,-24.3
6.75,1.65,-24.75
9.75,1.65,-24.15
11.55,1.65,-24.15
11.1,1.8,-22.8
11.25,2.1,-24.15
10.65,0.75,-23.85
10.35,1.05,-24.3
8.7,0.45,-23.7
8.1,0.75,-24.3
7.65,-0.3,-23.85
6,0.15,-24.45
5.85,-1.05,-24.6
4.95,-2.4,-24.15
3.6,-3.3,-22.5
3.6,-4.95,-23.85
-1.05,-14.1,-23.85
-0.6,-17.85,-25.35
-2.1,-19.35,-23.55
-2.1,-20.55,-22.8
-1.95,-22.65,-22.65
-0.6,-26.25,-23.25
0.15,-26.55,-23.4
1.2,-27.6,-22.95
1.2,-27.3,-22.95
2.85,-28.95,-24.3
1.65,-29.1,-24.45
1.95,-28.35,-24.75
2.85,-27.45,-23.55
4.05,-30.45,-23.85
4.2,-31.5,-24.75
6,-33,-24.75
5.55,-35.4,-25.05
6.45,-34.05,-24.45
4.2,-34.05,-24.45
4.05,-35.85,-22.5
9,-36.75,-24.45
9.3,-36,-25.95
8.25,-36,-24.75
9.15,-35.1,-24.3
9.3,-34.95,-25.5
11.25,-35.7,-26.25
11.85,-35.85,-25.05
12.45,-36.6,-24.6
13.5,-37.2,-23.7
13.95,-38.55,-23.85
19.2,-38.55,-25.05
20.55,-38.7,-25.2
20.1,-38.7,-25.2
21.6,-39.45,-25.2
21.6,-39.15,-24.15
23.25,-37.8,-25.35
24.75,-38.55,-25.05
26.25,-37.05,-24.3
27.75,-36.6,-23.85
31.05,-34.35,-23.55
35.85,-31.95,-23.25
37.95,-32.25,-22.95
38.55,-30.3,-23.7
39.15,-28.2,-22.8
39.6,-27,-24.3
40.35,-26.7,-23.55
40.65,-24.45,-23.55
42,-22.65,-23.4
42.3,-21.45,-24.45
41.4,-22.05,-23.55
39.6,-23.25,-24.3
40.8,-23.1,-25.2
41.4,-22.8,-24.6
42,-22.2,-24.45
41.4,-22.8,-23.55
42.45,-19.35,-23.55
43.8,-20.4,-22.65
42.75,-18,-22.95
42.9,-16.8,-23.55
43.2,-17.55,-23.85
43.8,-12.3,-22.65
41.4,-10.95,-23.85
41.1,-9.15,-24.3
42.3,-8.55,-22.65
40.8,-9.6,-23.4
41.1,-8.7,-23.85
41.25,-8.1,-23.7
41.7,-6.45,-22.5
42.15,-6,-22.8
40.5,-3.6,-22.95
39,0.15,-22.65
36.6,0.3,-23.25
33.45,1.2,-22.95
32.85,3,-23.85
28.95,3.6,-23.7
27.9,3.15,-24.15
27,3.75,-23.25
25.65,3.15,-24.45
24.6,2.4,-24.45
24.75,4.5,-24.6
24.3,4.95,-23.85
24.9,3.9,-24.15
25.5,4.5,-24.6
26.55,2.55,-24.6
26.1,1.65,-25.2
26.4,-0.9,-26.25
25.8,-4.5,-26.1
27.45,-5.1,-26.25
28.05,-4.5,-26.4
26.7,-6.3,-27.75
26.55,-20.55,-29.7
26.25,-23.25,-29.7
26.1,-27.3,-28.05
27.9,-30.75,-27
27.9,-33.3,-25.5
30.3,-36.6,-25.05
32.4,-38.7,-22.65
31.8,-40.8,-22.05
33,-44.4,-20.1
35.85,-46.95,-17.7
35.7,-56.25,-6.3
36.15,-58.8,-4.65
38.55,-60.45,-0.15
37.65,-63,4.35
38.1,-63,8.25
39.9,-62.25,11.25
40.8,-62.4,13.5
41.25,-63.9,17.25
42.3,-63.6,19.05
41.7,-64.05,19.5
40.8,-63.6,32.1
40.8,-61.2,33.6
41.1,-61.5,36.3
41.25,-60.45,40.5
41.4,-58.05,42.45
41.7,-58.05,44.25
41.1,-56.1,47.55
39.75,-53.55,51.3
40.05,-52.05,54.3
41.7,-49.2,56.25
41.4,-37.05,63.9
38.55,-34.5,66.15
38.1,-30.9,67.5
38.25,-29.85,68.1
36.9,-27.45,69.3
36,-25.65,70.2
37.35,-24.75,71.1
35.7,-23.1,70.2
34.05,-20.55,70.8
33,-17.25,71.7
31.95,-2.85,70.95
31.95,0.45,69.45
31.65,5.85,67.35
34.2,7.05,66.6
34.05,9.45,64.95
36.6,14.4,60.3
37.35,18.6,57
37.35,19.8,54.75
37.65,22.05,51.45
38.85,25.5,48.6
42,30.3,31.65
42,30.75,27.3
43.05,30.3,24.75
43.5,30.75,20.4
44.55,28.8,15
43.95,28.2,14.1
44.4,27.75,11.25
43.05,28.05,9.15
42.3,28.05,5.25
41.25,26.85,3
39.75,21.15,-6.6
36.15,19.05,-9
32.85,19.05,-12.3
28.95,19.2,-13.95
25.5,16.8,-17.7
23.25,13.35,-19.5
21.45,9.45,-22.05
19.8,7.05,-23.4
18.75,4.2,-24.3
17.85,2.1,-24.45
13.05,-9.6,-29.1
11.4,-12.6,-27.9
13.2,-16.8,-29.7
12.75,-19.95,-28.05
11.25,-22.65,-28.05
12.45,-24.45,-27.15
13.65,-30.9,-26.4
17.4,-36.6,-24.3
18.45,-39.3,-24.6
19.8,-42.45,-22.2
25.65,-55.2,-12.45
29.7,-57,-8.1
30.45,-60.15,-4.8
31.35,-61.5,-2.4
31.05,-64.05,1.05
31.65,-63.9,5.85
30.15,-67.35,11.4
30.15,-66.15,14.25
28.2,-67.8,18.3
26.4,-68.1,23.7
25.65,-67.8,31.65
24.75,-63.75,40.95
24.9,-61.2,46.95
24.15,-55.2,56.4
24.6,-45.9,63.75
23.4,-34.5,68.7
23.25,-25.95,72.6
20.25,-14.1,74.1
20.55,-4.35,71.7
19.8,3.9,68.4
19.5,12.9,64.2
19.5,18.3,59.1
19.35,25.35,53.1
18.3,28.8,46.65
18,31.65,41.7
16.2,33.15,36.3
14.85,33.75,32.85
16.8,34.95,30.6
16.65,34.35,27.9
14.4,34.35,25.05
13.65,32.85,20.7
11.25,34.5,16.5
11.1,33.9,16.95
6.6,31.95,16.2
6.15,31.95,14.1
6,31.8,13.5
5.25,30.3,12.75
3,29.85,12.75
3.75,29.85,12.15
6,31.8,8.4
14.55,28.8,0.45
14.55,29.1,-0.45
15.9,28.65,-1.8
19.2,27,-2.4
21.9,26.1,-4.8
22.65,25.35,-7.05
23.4,24.9,-8.1
20.85,19.95,-12.45
17.55,12.3,-19.05
12.3,1.2,-24.15
9.15,-37.8,-22.5
8.4,-43.05,-19.2
10.05,-50.1,-15.3
8.85,-54.15,-13.35
10.8,-56.7,-9.6
10.65,-59.85,-7.95
11.55,-60.15,-3.75
13.2,-62.25,-2.4
13.8,-63.9,-0.15
13.5,-65.85,2.7
11.25,-67.8,15.3
