mag_x,mag_y,mag_z
-12.50666667,11.2,-48.56
-12.48,11.82666667,-48.72
-12.53333333,11.38666667,-48.16
-12.52,11.33333333,-48.32
-12.58666667,11.32,-48.4
-13.02666667,10.89333333,-48.34666667
-13.18666667,10.76,-48.42666667
-12.86666667,10.84,-48.4
-13.54666667,10.4,-48.86666667
-14.69333333,10.26666667,-48.2
-12.84,12.29333333,-47.77333333
-12.74666667,12.36,-47.93333333
-12.61333333,12.72,-47.96
-12.88,12.4,-47.94666667
-13.09333333,11.66666667,-48.14666667
-11.65333333,12.2,-48.53333333
-10.37333333,13.01333333,-48.18666667
-9.306666667,13.34666667,-48.18666667
-9.04,13.34666667,-48.14666667
-9.426666667,13.98666667,-47.92
-9.92,12.73333333,-48.33333333
-10.44,12.32,-48.34666667
-11.05333333,12.45333333,-48.16
-11.90666667,11.88,-48.30666667
-12.81333333,11.02666667,-48.52
-13.56,10.70666667,-48.4
-14.97333333,9.533333333,-48.37333333
-15.13333333,8.68,-48.61333333
-16.37333333,7.56,-48.68
-17.10666667,6.346666667,-48.82666667
-20.62666667,-3.24,-49.72
-21.04,-5.8,-49.69333333
-21.93333333,-7.72,-49.37333333
-22.68,-8.72,-49.13333333
-22.37333333,-11.33333333,-49.14666667
-21.25333333,-13.81333333,-49.36
-20.25333333,-15.34666667,-49.53333333
-19.54666667,-15.68,-49.81333333
-18.18666667,-16.45333333,-50.08
-17.88,-16.69333333,-50.28
-17.52,-16.90666667,-50.24
-17.56,-17.08,-50.4
-17.25333333,-17.08,-50.32
-16.42666667,-18.13333333,-50.30666667
-15.94666667,-18.62666667,-50.45333333
-14.76,-20.30666667,-50.50666667
-13.93333333,-22.08,-50.21333333
-14.12,-23.12,-49.93333333
-15.10666667,-22.18666667,-49.94666667
-15.88,-22.45333333,-49.69333333
-10.96,-24.22666667,-50.45333333
-10.46666667,-23.70666667,-50.73333333
-10.97333333,-23.14666667,-50.74666667
-10.64,-23.61333333,-50.69333333
-10.25333333,-23.42666667,-50.56
-9.506666667,-23.86666667,-50.93333333
-8.253333333,-24.50666667,-51.14666667
-7.28,-25.22666667,-50.42666667
-6.666666667,-25.50666667,-50.37333333
-6.013333333,-25.84,-50.34666667
-1.2,-26.56,-50.38666667
-0.24,-26.57333333,-50.46666667
0.24,-26.13333333,-50.54666667
1,-26.12,-50.4
2.266666667,-26.12,-50.09333333
3.573333333,-25.76,-50.30666667
5.48,-25.04,-50.10666667
7.213333333,-24.86666667,-50.16
9.2,-23.49333333,-50.16
10.78666667,-22.16,-50.06666667
16.61333333,-20.14666667,-48.32
18.01333333,-19.78666667,-47.88
19.22666667,-18.2,-47.77333333
20.26666667,-15.68,-47.81333333
20.45333333,-14.57333333,-47.96
20.24,-13.65333333,-48.25333333
21.26666667,-11.81333333,-47.66666667
21.78666667,-10.45333333,-47.86666667
22.12,-9.386666667,-47.56
22.21333333,-9.813333333,-47.81333333
20.02666667,-11.69333333,-48.49333333
19.92,-11.14666667,-48.29333333
21.16,-10.68,-48.05333333
21.17333333,-10.46666667,-48.29333333
21.66666667,-9.866666667,-47.77333333
22.86666667,-7.96,-47.17333333
22.82666667,-7.32,-47.26666667
22.66666667,-6.48,-47.09333333
23.16,-5.106666667,-47.08
22.84,-4.626666667,-47.05333333
22.65333333,-1.106666667,-46.93333333
21.46666667,0.586666667,-47.34666667
21.25333333,2.093333333,-47.08
21.10666667,2.386666667,-46.98666667
20.68,2.146666667,-47.25333333
20.98666667,2.64,-46.84
21.85333333,3.853333333,-46.32
21.89333333,4.586666667,-46.22666667
21.25333333,6.133333333,-45.77333333
19.90666667,7.466666667,-46.37333333
17.41333333,11.85333333,-46.09333333
16.13333333,12.50666667,-46.06666667
13.77333333,13.01333333,-46.28
11.90666667,13.94666667,-46.78666667
8.693333333,14.45333333,-47.57333333
7.506666667,14.46666667,-47.49333333
6.453333333,14.64,-47.66666667
5.96,14.38666667,-47.98666667
5.346666667,14.68,-47.84
4.346666667,14.81333333,-47.54666667
4.186666667,15.24,-47.64
4.666666667,15,-47.74666667
5.133333333,15.06666667,-47.74666667
5.533333333,13.96,-48.01333333
5.333333333,12.88,-48.64
5.84,10.08,-49.81333333
6.693333333,7.586666667,-50.02666667
7.32,7.613333333,-50.44
7.613333333,5.933333333,-50.84
7.333333333,4.786666667,-50.98666667
6.946666667,-8.76,-52.90666667
5.933333333,-11.98666667,-52.85333333
6.453333333,-14.02666667,-52.6
7.906666667,-18.61333333,-51.73333333
7.96,-20.66666667,-50.96
9.84,-24.81333333,-49.37333333
11.37333333,-27.14666667,-48.10666667
11.8,-29.33333333,-46.96
13.12,-31.22666667,-45.26666667
14.88,-34.41333333,-42.88
16.34666667,-44.62666667,-32.16
16.65333333,-45.73333333,-30.6
17.34666667,-47.61333333,-27
18.24,-49.77333333,-21.38666667
18.76,-50.48,-18.29333333
19.26666667,-51.21333333,-15.97333333
20.01333333,-51.33333333,-13.94666667
21.05333333,-51.42666667,-10.50666667
21.38666667,-51.54666667,-8.64
21.48,-51.50666667,-7.813333333
21.01333333,-50.88,4.466666667
20.92,-50.36,6.026666667
21.54666667,-49.13333333,9.266666667
21.22666667,-48.61333333,11.48
20.45333333,-47.10666667,15.18666667
20.65333333,-45.89333333,17.54666667
20.17333333,-44.98666667,19.78666667
19.34666667,-42.69333333,23.8
20.18666667,-40.94666667,25.24
20.90666667,-37.98666667,27.88
19.65333333,-26.05333333,37.21333333
18.41333333,-23.65333333,38.72
17.56,-21.08,40.09333333
17.26666667,-19.49333333,40.89333333
16.25333333,-17.85333333,41.49333333
15.70666667,-15.97333333,42.30666667
15.26666667,-14.37333333,42.74666667
15.05333333,-12.68,43.25333333
13.42666667,-9.906666667,43.96
12.37333333,-7.853333333,44.4
11.33333333,6.68,43.72
10.88,10.69333333,42.8
11.49333333,13.65333333,41.42666667
12.48,16.49333333,40.21333333
13.16,18.57333333,38.94666667
15.21333333,23.56,35.18666667
