mag_x,mag_y,mag_z
7.333333333,4.853333333,24.76
7.026666667,4.88,24.81333333
7.413333333,4.853333333,24.85333333
7.36,4.813333333,24.90666667
7.333333333,4.8,24.86666667
7.466666667,4.786666667,25.01333333
7.346666667,4.786666667,25.05333333
7.373333333,4.76,24.96
7.426666667,4.853333333,24.84
7.4,4.853333333,24.73333333
7.373333333,4.893333333,24.68
7.373333333,4.92,24.76
7.333333333,4.893333333,24.66666667
7.466666667,4.84,24.94666667
7.893333333,4.346666667,24.61333333
7.346666667,4.906666667,24.93333333
7.413333333,4.866666667,24.92
7.4,4.866666667,24.77333333
7.293333333,4.853333333,24.85333333
7.346666667,4.826666667,25.02666667
7.426666667,4.84,24.90666667
7.36,4.813333333,24.82666667
7.386666667,4.906666667,24.8
7.36,4.893333333,24.81333333
7.4,4.92,24.76
7.36,5.4,24.18666667
7.36,4.933333333,24.74666667
7.386666667,4.933333333,24.8
7.4,4.986666667,24.77333333
7.293333333,5.04,24.34666667
7.453333333,4.84,24.77333333
7.373333333,5.013333333,24.42666667
7.386666667,4.973333333,24.61333333
7.4,4.933333333,24.76
7.413333333,4.946666667,24.68
7.48,4.813333333,24.98666667
7.346666667,5.026666667,24.6
7.386666667,4.773333333,25.02666667
7.4,4.92,24.78666667
7.506666667,4.813333333,25.04
7.44,4.893333333,24.77333333
7.413333333,4.76,25.09333333
7.386666667,4.92,24.72
7.4,4.946666667,24.8
7.426666667,4.813333333,24.89333333
7.32,4.986666667,24.49333333
7.4,4.92,24.66666667
7.293333333,5.026666667,24.38666667
7.373333333,4.946666667,24.74666667
7.413333333,4.933333333,24.72
7.373333333,5,24.44
7.4,4.786666667,25.04
7.4,4.866666667,24.96
6.493333333,4.92,24.76
7.386666667,4.813333333,24.96
7.613333333,4.493333333,25.01333333
7.813333333,4.306666667,24.98666667
7.453333333,4.76,24.89333333
7.453333333,4.706666667,25.12
7.346666667,4.96,24.6
7.413333333,4.893333333,24.69333333
7.306666667,5.226666667,24.25333333
7.306666667,5.146666667,24.17333333
7.306666667,5.093333333,24.32
7.333333333,5.08,24.37333333
7.333333333,4.96,24.45333333
7.386666667,5.12,24.12
7.36,5.146666667,24.24
7.333333333,4.946666667,24.42666667
7.426666667,4.986666667,24.66666667
7.426666667,5.093333333,24.46666667
7.493333333,4.92,24.84
7.426666667,4.786666667,25.02666667
